"method","pupae.production","Weekly_goal","Number_of_eggs_to_be_hatch","Number_of_larvae","Number_of_larval_rack","Number_of_adults","Number_of_Male_Release_cage","Larval_development_room_area","Tray_loading_room_area","Larval_pupal_sorting_room_area","Sex_sorting_room_area","Adult_room_area","Cage_loading_room_area","Irradiation_room_area","Storage_area","Offices_area","WC_area","Corridor_area","Mass_rearing_facility_area","MO_room_area","Chilling_room_area","MO_Offices_area","MO_WC_area","MO_Corridor_area","Release_facility_area","Egg_hatching_workload","Tray_hanging_workload","L1_dosage_workload","L4_loading_workload","Larval_feeding_workload","Tray_tilting_workload","L1_sex_sorting_workload","Tray_washing_workload","Irradiation_workload","Insect_packing_for_irradiation_workload","Colony_cage_loading_workload","Colony_cage_bloodfeeding_workload","Egg_collection_workload","Egg_storage_workload","Colony_cage_washing_workload","Larval_diet_prep_workload","Adult_diet_prep_workload","Blood_collection_workload","Blood_doses_prep_workload","Workload_mass_rearing_facility","MO_cage_loading_workload","MO_adult_diet_prep_workload","MO_cage_chilling_workload","MO_adult_collection_workload","MO_adult_packing_for_release_workload","MO_cage_washing_workload","Workload_release_facility","Staff_needed_every_day_mass_rearing","Team_leaders_needed_mass_rearing","Total_rearing_labourers_mass_rearing","Total_team_leaders_mass_rearing","Total_QC_managers_mass_rearing","QC_technicians_needed_mass_rearing","Maintenance_manager_needed_mass_rearing","Total_Maintenance_manager_needed_mass_rearing","Maintenance_officer_needed_mass_rearing","Total_Maintenance_officer_needed_mass_rearing","Total_manager_needed_mass_rearing","Admin_assistant_needed_mass_rearing","Total_Admin_assistant_needed_mass_rearing","Staff_needed_every_day_release_facility","Team_leaders_needed_release_facility","Total_rearing_labourers_release_facility","Total_team_leaders_release_facility","QC_managers_needed_release_facility","Total_QC_managers_release_facility","QC_technicians_needed_release_facility","Total_QC_technicians_needed_release_facility","Maintenance_manager_needed_release_facility","Total_Maintenance_manager_needed_release_facility","Maintenance_officer_needed_release_facility","Total_Maintenance_officer_needed_release_facility","Manager_needed_release_facility","Total_manager_needed_release_facility","Admin_assistant_needed_release_facility","Total_Admin_assistant_needed_release_facility","Total_rearing_labourers_both_facilities","Total_team_leaders_both_facilities","Total_QC_managers_both_facilities","Total_QC_technicians_both_facilities","Total_Maintenance_manager_both_facilities","Total_Maintenance_officer_both_facilities","Total_manager_both_facilities","Total_Admin_assistant_both_facilities","Total_staff_both_facilities","Cost_office_labs_wc_irradiation_corridor","Cost_rearing_rooms","Cost_storage_warehouse","Construction_cost_mass_rearing_facility","Yearly_depreciation_mass_rearing_facility","Cost__office_labs_wc_irradiation_corridor_MO","Cost_chilling_room_MO","Cost_rearing_rooms_MO","Cost_storage_warehouse_MO","Construction_cost_release_facility","Yearly_depreciation_release_facility","Larval_trays_total_cost","Racks_for_larval_trays_total_cost","Cages_for_Colonies_total_cost","Irradiator_total_cost","L1_Sex_sorter_total_cost","Pupal_sex_sorter_total_cost","L1_counter_total_cost","Larval_diet_mixer_total_cost","Adult_diet_mixer_total_cost","Larval_diet_feeder_total_cost","Blood_feeders_total_cost","Tray_washing_machine_in_mass_rearing_facility_total_cost","Cage_washing_machine_in_mass_rearing_facility_total_cost","Equipment_for_basic_QC_lab_total_cost","Workshop_equipment_total_cost","Blood_storage_total_cost","Mass_rearing_facility_equipment_cost","Mass_rearing_facility_equipment_yearly_depreciation","Cages_for_Release_Males_total_cost","Cage_washing_machine_in_release_facility_total_cost","Equipment_for_basic_QC_lab_MO_total_cost","Workshop_equipment_MO_total_cost","Release_facility_equipment_cost","Release_facility_equipment_yearly_depreciation","Total_equipment_cost","Total_equipment_yearly_depreciation","Beef_liver","Tuna","Brewer_yeast","BSF_yeast","Comp5","Comp6","Water_including_the_initial_load_of_trays_yearly_cost","Sugar_for_adult_colony_yearly_cost","Blood_for_adult_diet_yearly_cost","Total_diet_yearly_cost","Radiation_dosimeters_yearly_cost","Consumables_without_inventoring_yearly_cost","Total_other_consumables_yearly_cost","Yearly_cost_of_diet_and_consumables","Water_for_larval_trays_initial_loading_daily","Water_for_larval_trays_initial_loading_weekly","Water_for_tray_washing_daily","Water_for_tray_washing_weekly","Water_for_colony_cage_washing_daily","Water_for_colony_cage_washing_weekly","Water_for_MO_cage_washing_daily","Water_for_MO_cage_washing_weekly","Water_for_room_cleaning_daily","Water_for_room_cleaning_weekly","Total_water_required_daily","Total_water_required_weekly"
"GSS",5,5.26315789473684,5493865.48022714,11556000,24,3630000,297.619166666667,55.68,7.68,5.568,5.568,104.72,3.96,15,21,30,30,37.9176,417.0936,41.796,8.0357175,15,18,15.78317175,173.61488925,2,1.8,1,0,6,4,36.7061785460829,0.535,0.51,0,1.8,2.9,2.75,0,3.75,0.45,0.1,0.714285714285714,1.3,68.8680454330178,7.44047916666667,0.4,7.44047916666667,11.16071875,7.44047916666667,6.25,40.13215625,10,1,17,2,1,1,1,1,0,0,1,1,1,6,1,11,2,0,0,1,1,0,0,1,1,0,0,0,0,28,4,1,2,1,1,1,1,39,214376.4,255811.2,41000,511187.6,25559.38,125674.757625,16071.435,86155.2,10000,237901.392625,11895.06963125,66800,203000,83300,250000,450000,80000,0,3000,2000,15000,12000,20000,20000,12000,25000,5000,1247100,136496.666666667,32508,40000,6000,10000,88508,17660.3333333333,1335608,154157,0,593.801208,2163.132972,5047.310268,0,0,1725.27784065,3044.67041666667,802.256,13376.4487053167,1638,3002.88974106333,4640.88974106333,18017.33844638,642,4494,53.5,374.5,18,126,223.214375,1562.500625,451.407075,58.212,1579.9247625,11059.4733375
"GSS",10,10.5263157894737,10987730.9604543,23004000,36,6453333.33333333,595.238333333333,84.48,11.52,8.448,8.448,186.12,7.04,15,33,30,30,51.4056,565.4616,83.592,16.071435,15,18,20.7663435,228.4297785,2,2.7,1.5,0,9,6,73.4123570921658,1.065,0.85,0,3.2,5.75,5.4,0,6.66666666666667,0.9,0.1,0.714285714285714,2.5,126.863471818417,14.8809583333333,0.7,14.8809583333333,22.3214375,14.8809583333333,12.4166666666667,80.0809791666667,17,2,29,3,1,3,1,1,1,1,1,1,1,11,2,19,3,1,1,0,0,1,1,0,0,1,1,0,0,48,6,2,3,2,1,2,1,65,234608.4,403267.2,53000,690875.6,34543.78,133149.51525,32142.87,136310.4,10000,311602.78525,15580.1392625,132960,308000,148050,250000,8e+05,120000,0,3000,2000,27000,20000,20000,40000,12000,25000,5000,1913010,210831.666666667,65016,60000,6000,10000,141016,29120.6666666667,2054026,239952.333333333,0,1182.052872,4306.049748,10047.449412,0,0,3431.0222037,6041.29283333333,1590.68,26598.5470690333,2730,5865.70941380667,8595.70941380667,35194.25648284,1278,8946,106.5,745.5,32,224,446.42875,3125.00125,897.70335,108.108,3141.961725,21993.732075
"GSS",20,21.0526315789474,21975461.9209086,46008000,60,12906666.6666667,1190.47627083333,138.24,19.2,13.824,13.824,371.8,14.08,15,66,30,30,81.1968,893.1648,167.184,32.1428593125,15,18,30.73268593125,338.05954524375,2,4.5,2.5,0,15,10,146.824714184332,2.13,1.53,0,6.4,11.4,10.75,0,13.3333333333333,1.8,0.2,0.714285714285714,4.9,244.192657922547,29.7619067708333,1.4,29.7619067708333,44.64286015625,29.7619067708333,24.8333333333333,160.161913802083,33,4,57,6,1,6,1,1,2,2,1,3,3,22,3,38,5,1,1,2,2,1,1,1,1,1,1,1,1,95,11,2,8,2,3,2,4,127,279295.2,721161.6,86000,1086456.8,54322.84,148099.028896875,64285.718625,236620.8,10000,459005.547521875,22950.2773760937,265840,504000,295750,250000,1550000,160000,0,3000,4000,48000,36000,20000,60000,12000,25000,5000,3238590,357415,130032,1e+05,6000,10000,246032,52041.3333333333,3484622,409456.333333333,0,2364.105744,8612.099496,20094.898824,0,0,6862.04381737875,12082.5820645833,3153.696,53169.4259459621,4914,11616.6851891924,16530.6851891924,69700.1111351545,2556,17892,213,1491,64,448,892.857203125,6250.000421875,1795.406545625,216.216,6283.9229096875,43987.4603678125
"GSS",50,52.6315789473684,54938654.8022714,114588000,144,31460000,2976.19047916667,332.16,46.08,33.216,33.216,906.4,34.32,15,162,30,30,172.2392,1894.6312,417.96,80.3571429375,15,18,60.63171429375,666.94885723125,2,10.8,6,0,36,24,367.061785460829,5.305,3.57,0,15.6,28.4,26.7,0,32.5,4.35,0.4,0.714285714285714,12,600.926882901607,74.4047619791667,3.4,74.4047619791667,111.60714296875,74.4047619791667,62.0833333333333,400.304762239583,81,9,138,14,1,15,1,1,7,7,1,8,8,54,6,92,9,1,1,6,6,1,1,4,4,1,1,4,4,230,23,2,21,2,11,2,12,303,415858.8,1698470.4,182000,2296329.2,114816.46,192947.571440625,160714.285875,537552,10000,901213.857315625,45060.6928657813,662080,1211000,721000,250000,3750000,280000,0,9000,8000,111000,86000,20000,120000,12000,25000,5000,7270080,803146.666666667,325080,220000,6000,10000,561080,120803.333333333,7831160,923950,0,5888.066184,21449.383956,50048.562564,0,0,17098.9533668362,30110.3573604167,7856.576,132451.899431253,11466,28783.5798862506,40249.5798862506,172701.479317503,6366,44562,530.5,3713.5,156,1092,2232.142859375,15625.000015625,4473.823486875,523.908,15658.3822040625,109608.675428438
"GSS",100,105.263157894737,109877309.604543,228960000,276,62920000,5952.38095833333,637.44,88.32,63.744,63.744,1812.36,68.64,15,321,30,30,323.0248,3553.2728,835.812,160.714285875,15,18,110.4526285875,1214.9789144625,2,20.7,11.5,0,69,46,734.123570921658,10.6,6.97,0,31.2,56.75,53.35,0,65,8.7,0.8,0.714285714285714,24,1192.45948008893,148.809523958333,6.7,148.809523958333,223.2142859375,148.809523958333,124.083333333333,800.426191145833,159,16,271,24,1,29,1,1,14,14,1,16,16,107,11,182,17,1,1,12,12,1,1,9,9,1,1,8,8,453,41,2,41,2,23,2,24,588,642037.2,3317097.6,341000,4300134.8,215006.74,267678.94288125,321428.57175,1038974.4,10000,1638081.91463125,81904.0957315625,1322880,2324000,1441650,250000,7400000,480000,0,15000,14000,216000,168000,40000,220000,12000,25000,5000,13933530,1541245,650076,420000,6000,10000,1086076,235385.666666667,15019606,1776630.66666667,0,11765.03328,42858.33552,100002.78288,0,0,34174.7026072725,60220.7147208333,15699.32,264720.889008106,22386,57421.3778016212,79807.3778016212,344528.266809727,12720,89040,1060,7420,312,2184,4464.28571875,31250.00003125,8941.57577375,1047.816,31295.515208125,219068.606456875
"GSS-CS",5,5.26315789473684,6463846.57540595,17820000,30,4436666.66666667,297.619166666667,69.12,9.6,6.912,6.912,128.04,4.84,15,27,30,30,42.7424,470.1664,41.796,8.0357175,15,18,15.78317175,173.61488925,2,2.25,1.25,0,7.5,5,44.5003140298269,0.825,0.51,0,2.2,3.45,3.15,0,4.58333333333333,0.75,0.1,0.714285714285714,2,85.8880954227443,7.44047916666667,0.4,7.44047916666667,11.16071875,7.44047916666667,6.25,40.13215625,12,2,21,3,1,2,1,1,0,0,1,1,1,6,1,11,2,0,0,1,1,0,0,1,1,0,0,0,0,32,5,1,3,1,1,1,1,45,221613.6,306508.8,47000,575122.4,28756.12,125674.757625,16071.435,86155.2,10000,237901.392625,11895.06963125,102960,252000,101850,250000,5e+05,120000,0,3000,2000,21000,14000,20000,20000,12000,25000,5000,1448810,159878.333333333,32508,40000,6000,10000,88508,17660.3333333333,1537318,177538.666666667,0,915.67476,3335.67234,7783.23546,0,0,2404.31270625,3044.67041666667,1258.712,18742.2776829167,1638,4076.05553658333,5714.05553658333,24456.3332195,990,6930,82.5,577.5,22,154,223.214375,1562.500625,629.071875,58.212,2201.7515625,15412.2609375
"GSS-CS",10,10.5263157894737,12927693.1508119,35532000,48,7663333.33333333,595.238333333333,111.36,15.36,11.136,11.136,220.88,8.36,15,48,30,30,60.1232,661.3552,83.592,16.071435,15,18,20.7663435,228.4297785,2,3.6,2,0,12,8,89.0006280596537,1.645,0.85,0,3.8,6.85,6.15,0,7.91666666666667,1.35,0.1,0.714285714285714,3.9,160.086905131203,14.8809583333333,0.7,14.8809583333333,22.3214375,14.8809583333333,12.4166666666667,80.0809791666667,22,3,38,5,1,4,1,1,1,1,1,2,2,11,2,19,3,1,1,0,0,1,1,0,0,1,1,0,0,57,8,2,4,2,1,2,2,78,247684.8,489878.4,68000,805563.2,40278.16,133149.51525,32142.87,136310.4,10000,311602.78525,15580.1392625,205360,406000,175700,250000,950000,160000,0,3000,2000,36000,24000,20000,40000,12000,25000,5000,2314060,257063.333333333,65016,60000,6000,10000,141016,29120.6666666667,2455076,286184,0,1825.799976,6651.128484,15519.299796,0,0,4786.0343349,6041.29283333333,2503.592,37327.1474242333,2730,8011.42948484667,10741.4294848467,48068.57690908,1974,13818,164.5,1151.5,38,266,446.42875,3125.00125,1252.23295,108.108,4382.815325,30679.707275
"GSS-CS",20,21.0526315789474,25855386.3016238,71064000,90,15326666.6666667,1190.47627083333,207.36,28.8,20.736,20.736,441.76,16.72,15,87,30,30,99.8112,1097.9232,167.184,32.1428593125,15,18,30.73268593125,338.05954524375,2,6.75,3.75,0,22.5,15,178.001256119307,3.29,1.53,0,7.6,13.55,12.25,0,15.8333333333333,2.7,0.2,0.714285714285714,7.6,313.68952454812,29.7619067708333,1.4,29.7619067708333,44.64286015625,29.7619067708333,24.8333333333333,160.161913802083,42,5,72,8,1,7,1,1,3,3,1,4,4,22,3,38,5,1,1,2,2,1,1,1,1,1,1,1,1,110,13,2,9,2,4,2,5,147,307216.8,919334.4,107000,1333551.2,66677.56,148099.028896875,64285.718625,236620.8,10000,459005.547521875,22950.2773760937,410640,756000,351400,250000,1850000,240000,0,6000,4000,69000,44000,20000,60000,12000,25000,5000,4103040,456713.333333333,130032,1e+05,6000,10000,246032,52041.3333333333,4349072,508754.666666667,0,3651.599952,13302.256968,31038.599592,0,0,9572.06807977875,12082.5820645833,4938.024,74585.1306563621,4914,15899.8261312724,20813.8261312724,95398.9567876345,3948,27636,329,2303,76,532,892.857203125,6250.000421875,2504.465745625,216.216,8765.6301096875,61359.4107678125
"GSS-CS",50,52.6315789473684,64638465.7540595,176904000,216,37510000,2976.19047916667,499.2,69.12,49.92,49.92,1080.64,40.92,15,207,30,30,217.172,2388.892,417.96,80.3571429375,15,18,60.63171429375,666.94885723125,2,16.2,9,0,54,36,445.003140298269,8.19,3.57,0,18.6,33.75,30.35,0,38.75,6.75,0.4,0.714285714285714,18.8,773.129049465538,74.4047619791667,3.4,74.4047619791667,111.60714296875,74.4047619791667,62.0833333333333,400.304762239583,104,11,177,17,1,19,1,1,9,9,1,10,10,54,6,92,9,1,1,6,6,1,1,4,4,1,1,4,4,269,26,2,25,2,13,2,14,353,483258,2183664,227000,2893922,144696.1,192947.571440625,160714.285875,537552,10000,901213.857315625,45060.6928657813,1022160,1820000,859600,250000,4550000,480000,0,12000,8000,168000,102000,40000,140000,12000,25000,5000,9493760,1059786.66666667,325080,220000,6000,10000,561080,120803.333333333,10054840,1180590,0,9090.153072,33114.129048,77266.301112,0,0,23839.2078332362,30110.3573604167,12296.648,185716.796425653,11466,39436.5592851306,50902.5592851306,236619.355710783,9828,68796,819,5733,186,1302,2232.142859375,15625.000015625,6237.364686875,523.908,21830.7764040625,152815.434828437
"GSS-CS",100,105.263157894737,129276931.508119,353484000,420,75020000,5952.38095833333,967.68,134.4,96.768,96.768,2160.84,81.84,15,408,30,30,412.1296,4533.4256,835.812,160.714285875,15,18,110.4526285875,1214.9789144625,2,31.5,17.5,0,105,70,890.006280596537,16.365,6.97,0,37.2,67.45,60.65,0,77.5,13.5,0.8,0.714285714285714,37.5,1536.75881321679,148.809523958333,6.7,148.809523958333,223.2142859375,148.809523958333,124.083333333333,800.426191145833,205,21,349,32,1,38,1,1,18,18,1,21,21,107,11,182,17,1,1,12,12,1,1,9,9,1,1,8,8,531,49,2,50,2,27,2,29,692,775694.4,4281955.2,428000,5485649.6,274282.48,267678.94288125,321428.57175,1038974.4,10000,1638081.91463125,81904.0957315625,2042400,3528000,1718850,250000,9e+06,880000,0,24000,14000,333000,2e+05,60000,260000,12000,25000,5000,18352250,2050885,650076,420000,6000,10000,1086076,235385.666666667,19438326,2286270.66666667,0,18163.657512,66167.609508,154391.088852,0,0,47643.6094768725,60220.7147208333,24579.464,371166.144069706,22386,78710.4288139412,101096.428813941,472262.572883647,19638,137466,1636.5,11455.5,372,2604,4464.28571875,31250.00003125,12465.62257375,1047.816,43629.679008125,305407.753056875
