Replicate;Line;out;in
2;Aaeg-M;65;36
2;Aaeg-CS;66;36
2;Bra (WT);71;22
3;Aaeg-M;57;31
3;Aaeg-CS;75;19
3;Bra (WT);64;35
4;Aaeg-M;76;21
4;Aaeg-CS;79;27
4;Bra (WT);78;19
