Replicate;Line;Males;Females
2;Bra (WT);97;100
3;Bra (WT);97;87
4;Bra (WT);126;95
1;Aaeg-M;562;512
2;Aaeg-M;912;837
3;Aaeg-M;592;580
1;Aaeg-m;1567;1301
2;Aaeg-m;320;309
3;Aaeg-m;1827;1693
1;Aaeg-CS;1089;916
2;Aaeg-CS;383;288
3;Aaeg-CS;660;582
