line,Replicate,tsg,no_tsg
Expected,1,1300,3700
Aaeg-M,1,632,1758
Aaeg-M,2,618,1670
Aaeg-M,3,740,1472
Aaeg-M,4,493,1775
Aaeg-M,5,522,1554
Aaeg-CS,1,101,486
Aaeg-CS,2,411,1268
Aaeg-CS,3,459,847
Aaeg-CS,4,153,450
Aaeg-CS,5,436,1033
