Replicate;Line;Eggs;Larvae;Unhatched
1;Bra (WT);220;140;80
2;Bra (WT);235;141;94
3;Bra (WT);272;166;106
1;Aaeg-M;435;259;176
2;Aaeg-M;297;157;140
3;Aaeg-M;291;172;119
1;Aaeg-m;392;315;77
2;Aaeg-m;295;242;53
3;Aaeg-m;491;398;93
1;Aaeg-CS;515;405;110
2;Aaeg-CS;335;283;52
3;Aaeg-CS;465;346;119
