"Id","Plate","Row","Column","Clog","Scan.rate","Status.sort","Status.sel","TOF","EXT","Green","Yellow","Red","PH.Ext","PW.Ext","PC.Ext","PH.Green","PW.Green","PCGreen","PH.Yellow","PW.Yellow","PCYellow","PH.Red","PW.Red","PCRed","Time.Stamp","X","filtering","fluo1","fluo2","log.fluo1","log.fluo2","pca.ind.1","pca.ind.2","clust"
"25",-1,0,0,"N",2500,0,40,576,515,6,7,9,50884,575,"n/a",736,575,0,1317,575,"n/a",2414,575,"n/a",1798640,NA,"in",6,9,1.79175946922805,2.19722457733622,-0.817456382551791,0.0621730682526096,1
"26",-1,0,0,"N",2500,0,40,829,633,5,7,9,47496,827,"n/a",524,824,0,1338,827,"n/a",2702,822,"n/a",1799140,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"27",-1,0,0,"N",2500,0,40,682,681,5,7,9,55304,681,"n/a",612,676,0,1409,681,"n/a",2841,677,"n/a",1799265,NA,"in",5,9,1.6094379124341,2.19722457733622,-0.986866834499319,-0.00521572044926111,1
"28",-1,0,0,"N",2500,0,40,814,681,6,8,11,50232,812,"n/a",680,798,0,1861,811,"n/a",3586,788,"n/a",1799375,NA,"in",6,11,1.79175946922805,2.39789527279837,-0.743285476308165,-0.124287127725681,1
"29",-1,0,0,"N",2500,0,40,868,644,6,6,7,46944,866,"n/a",568,846,0,1153,858,"n/a",2277,832,"n/a",1799468,NA,"in",6,7,1.79175946922805,1.94591014905531,-0.910345973903256,0.295690660053991,1
"30",-1,0,0,"N",2500,0,40,652,683,5,8,10,57504,651,"n/a",664,645,0,1755,651,"n/a",3011,651,"n/a",1799562,NA,"in",5,10,1.6094379124341,2.30258509299405,-0.947924003755452,-0.103115128993632,1
"31",-1,0,0,"N",2500,0,1,150,87,0,0,0,30048,148,"n/a",92,127,0,88,146,"n/a",131,85,"n/a",1799593,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
"32",-1,0,0,"N",2500,0,40,858,764,8,7,8,55720,856,"n/a",760,852,0,1073,856,"n/a",1868,828,"n/a",1799671,NA,"in",8,8,2.07944154167984,2.07944154167984,-0.593680902975052,0.277946915228523,1
"33",-1,0,0,"N",2500,0,40,512,464,6,9,13,57936,511,"n/a",1016,511,0,1791,511,"n/a",3111,506,"n/a",1799687,NA,"in",6,13,1.79175946922805,2.56494935746154,-0.681539774861172,-0.279511273899745,1
"34",-1,0,0,"N",2500,0,40,740,837,9,8,9,57124,739,"n/a",952,723,0,861,737,"n/a",1239,734,"n/a",1799921,NA,"in",9,9,2.19722457733622,2.19722457733622,-0.440704294529716,0.212039068613508,1
"35",-1,0,0,"N",2500,0,40,912,692,7,10,10,49852,910,"n/a",796,863,0,1322,898,"n/a",2246,882,"n/a",1800156,NA,"in",7,10,1.94591014905531,2.30258509299405,-0.63527905558723,0.0212500687176717,1
"36",-1,0,0,"N",2500,0,2,756,564,99,154,24,51636,754,"n/a",13164,754,0,20638,754,"n/a",2529,615,"n/a",1800453,NA,"in",99,24,4.59511985013459,3.17805383034795,2.14991321377304,0.186965406186329,2
"37",-1,0,0,"N",2500,0,40,615,642,5,6,8,54684,614,"n/a",588,614,0,1181,612,"n/a",2369,608,"n/a",1800468,NA,"in",5,8,1.6094379124341,2.07944154167984,-1.03040121541448,0.104226507080915,1
"38",-1,0,0,"N",2500,0,40,513,527,6,6,8,56324,512,"n/a",940,483,0,1144,512,"n/a",1663,504,"n/a",1800906,NA,"in",6,8,1.79175946922805,2.07944154167984,-0.860990763466951,0.171615295782785,1
"39",-1,0,0,"N",2500,0,2,974,813,266,413,57,49720,972,"n/a",28476,972,0,44821,972,"n/a",2872,783,"n/a",1800937,NA,"in",266,57,5.5834963087817,4.04305126783455,3.3880138315253,-0.251458419794498,2
"40",-1,0,0,"N",2500,0,2,615,625,138,218,38,59312,614,"n/a",17860,614,0,28561,614,"n/a",2905,607,"n/a",1801125,NA,"in",138,38,4.92725368515721,3.63758615972639,2.62837704261691,-0.117263472454203,2
"41",-1,0,0,"N",2500,0,2,674,789,138,212,33,57368,673,"n/a",15996,673,0,25054,673,"n/a",2694,611,"n/a",1801171,NA,"in",138,33,4.92725368515721,3.49650756146648,2.57623227150113,0.013824641927929,2
"42",-1,0,0,"N",2500,0,1,160,122,0,0,0,34752,158,"n/a",56,117,0,100,155,"n/a",122,109,"n/a",1801171,NA,"out.neg",0,0,-Inf,-Inf,NA,NA,NA
