Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
46	-1	0	0	N	2500	0	2	796	632	122	192	30	50776	794	n/a	14352	794	0	22553	794	n/a	2156	747	n/a	1801843	
47	-1	0	0	N	2500	0	40	493	611	7	6	7	65532	492	n/a	1216	492	0	1262	492	n/a	1507	479	n/a	1801906	
48	-1	0	0	N	2500	0	40	878	682	5	8	11	59156	876	n/a	620	866	0	1789	876	n/a	3412	865	n/a	1802031	
49	-1	0	0	N	2500	0	2	1011	782	200	309	42	47944	1009	n/a	20388	1009	0	31272	1009	n/a	1408	774	n/a	1802375	
50	-1	0	0	N	2500	0	40	835	752	6	7	9	56168	833	n/a	644	795	0	1268	830	n/a	2229	830	n/a	1802453	
51	-1	0	0	N	2500	0	40	872	784	8	8	11	52088	870	n/a	780	868	0	1827	870	n/a	3400	867	n/a	1802578	
52	-1	0	0	N	2500	0	40	495	639	7	8	11	65532	494	n/a	936	494	0	1558	494	n/a	2647	490	n/a	1802593	
53	-1	0	0	N	2500	0	1	192	70	0	0	0	17044	191	n/a	292	191	0	262	191	n/a	317	188	n/a	1802875	
54	-1	0	0	N	2500	0	40	589	493	4	7	9	51864	588	n/a	676	577	0	1705	588	n/a	3253	585	n/a	1802875	
55	-1	0	0	N	2500	0	40	803	686	7	7	9	51740	801	n/a	692	783	0	1362	801	n/a	2223	788	n/a	1803093	
56	-1	0	0	N	2500	0	2	531	561	153	238	37	61012	530	n/a	19584	530	0	30576	530	n/a	2772	505	n/a	1803250	
57	-1	0	0	N	2500	0	40	697	681	5	8	11	56976	696	n/a	712	696	0	1828	696	n/a	3312	678	n/a	1803468	
58	-1	0	0	N	2500	0	40	878	702	6	7	10	51480	876	n/a	560	859	0	1574	870	n/a	3306	858	n/a	1803546	
59	-1	0	0	N	2500	0	40	795	655	7	6	8	47568	793	n/a	684	781	0	1135	786	n/a	1874	767	n/a	1803750	
60	-1	0	0	N	2500	0	40	707	623	6	6	8	47224	706	n/a	700	694	0	1117	706	n/a	2532	706	n/a	1804046	
61	-1	0	0	N	2500	0	2	717	726	109	166	28	54132	716	n/a	11672	716	0	17460	716	n/a	2482	683	n/a	1804125	
62	-1	0	0	N	2500	0	40	910	633	6	7	9	49084	908	n/a	688	896	0	1408	905	n/a	2552	886	n/a	1804140	
63	-1	0	0	N	2500	0	40	701	620	6	6	7	56384	700	n/a	940	700	0	1154	700	n/a	1684	698	n/a	1804156	
64	-1	0	0	N	2500	0	2	422	455	88	135	22	56276	421	n/a	12480	421	0	18934	421	n/a	2032	421	n/a	1804265	
65	-1	0	0	N	2500	0	2	412	377	0	0	0	45956	411	n/a	176	394	0	178	406	n/a	181	377	n/a	1804265	
